[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-06-29 10:00:41] RUNNING | model=BEST | log=BPIC15_1
[2026-06-29 10:00:41] RUNNING | model=SuTraN_NDA | log=BPIC15_1
[2026-06-29 10:00:41] RUNNING | model=ED_LSTM | log=BPIC15_1
[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-06-29 10:00:41] RUNNING | model=ED_LSTM | log=BPIC15_2
[2026-06-29 10:00:41] RUNNING | model=BEST | log=BPIC15_2
[2026-06-29 10:00:41] RUNNING | model=SuTraN_NDA | log=BPIC15_2
[2026-06-29 10:00:41] RUNNING | model=SuTraN_NDA | log=BPIC15_3
[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-06-29 10:00:41] RUNNING | model=BEST | log=BPIC15_3
[2026-06-29 10:00:41] RUNNING | model=ED_LSTM | log=BPIC15_3
[2026-06-29 10:00:41] RUNNING | model=SuTraN_NDA | log=BPIC15_4
[2026-06-29 10:00:41] RUNNING | model=BEST | log=BPIC15_4
[2026-06-29 10:00:41] RUNNING | model=ED_LSTM | log=BPIC15_4
[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-29 10:00:41] RUNNING | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-29 10:00:41] RUNNING | model=SuTraN_NDA | log=BPIC15_5
[2026-06-29 10:00:41] RUNNING | model=BEST | log=BPIC15_5
[2026-06-29 10:00:41] RUNNING | model=ED_LSTM | log=BPIC15_5
[2026-06-29 10:12:53] DONE | model=BEST | log=BPIC15_4
[2026-06-29 10:12:53] RUNNING | model=SuTraN_NDA | log=Sepsis
[2026-06-29 10:25:29] DONE | model=BEST | log=BPIC15_1
[2026-06-29 10:25:29] RUNNING | model=CRTP_LSTM_NDA | log=Sepsis
[2026-06-29 10:31:13] DONE | model=BEST | log=BPIC15_2
[2026-06-29 10:31:13] RUNNING | model=ED_LSTM | log=Sepsis
[2026-06-29 10:31:53] DONE | model=BEST | log=BPIC15_3
[2026-06-29 10:31:53] RUNNING | model=BEST | log=Sepsis
[2026-06-29 10:32:18] DONE | model=BEST | log=Sepsis
[2026-06-29 10:32:18] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_A
[2026-06-29 10:59:03] DONE | model=BEST | log=BPIC15_5
[2026-06-29 10:59:03] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_A
[2026-06-29 11:23:24] DONE | model=CRTP_LSTM_NDA | log=BPIC15_4
[2026-06-29 11:23:24] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_A
[2026-06-29 12:05:03] DONE | model=CRTP_LSTM_NDA | log=BPIC15_1
[2026-06-29 12:05:03] RUNNING | model=BEST | log=BPI_Challenge_2012_A
[2026-06-29 12:05:41] DONE | model=BEST | log=BPI_Challenge_2012_A
[2026-06-29 12:05:41] RUNNING | model=SuTraN_NDA | log=BPI_Challenge_2012_O
[2026-06-29 12:07:04] DONE | model=ED_LSTM | log=BPIC15_1
[2026-06-29 12:07:04] RUNNING | model=CRTP_LSTM_NDA | log=BPI_Challenge_2012_O
[2026-06-29 12:08:09] DONE | model=CRTP_LSTM_NDA | log=BPIC15_2
[2026-06-29 12:08:09] RUNNING | model=ED_LSTM | log=BPI_Challenge_2012_O
[2026-06-29 12:08:14] DONE | model=CRTP_LSTM_NDA | log=BPIC15_3
[2026-06-29 12:08:14] RUNNING | model=BEST | log=BPI_Challenge_2012_O
[2026-06-29 12:08:45] DONE | model=BEST | log=BPI_Challenge_2012_O
[2026-06-29 12:20:44] DONE | model=ED_LSTM | log=BPIC15_4
[2026-06-29 13:08:18] DONE | model=CRTP_LSTM_NDA | log=BPIC15_5
[2026-06-29 13:14:39] DONE | model=ED_LSTM | log=BPIC15_3
[2026-06-29 13:40:51] DONE | model=ED_LSTM | log=BPIC15_2
[2026-06-29 13:50:17] DONE | model=ED_LSTM | log=BPIC15_5
[2026-06-29 16:26:10] DONE | model=SuTraN_NDA | log=BPIC15_4
[2026-06-29 18:37:50] DONE | model=SuTraN_NDA | log=BPIC15_5
